value;name;category;motor;description;location;items;opportunity
R$ 152.000;MERCEDES BENZ S CLASS;USADO;Motor 2.0 16v;Ano 2003 - 23.426 km;Rio de Janeiro - RJ;[' Sensor de estacionamento'];
R$ 480.000;ADAM OPEL AG;NOVO;Motor 1.0 8v;Ano 2019 - 0 km;São Paulo - SP;[' Sensor de chuva'];
R$ 381.000;SPOTLIGHT;USADO;Motor 4.0 Turbo;Ano 2000 - 81.779 km;Rio de Janeiro - RJ;[' Vidros elétricos'];
R$ 468.000;LOTUS;USADO;Motor Diesel V6;Ano 1995 - 45.004 km;São Paulo - SP;[' Câmbio automático'];OPORTUNIDADE
R$ 54.000;SPORTS CAR;NOVO;Motor 1.8 16v;Ano 2019 - 0 km;Rio de Janeiro - RJ;[' Central multimídia'];
R$ 304.000;RESTORED;USADO;Motor 5.0 V8 Bi-Turbo;Ano 2002 - 84.771 km;São Paulo - SP;[' Vidros elétricos'];
R$ 372.000;FERRARI F430;USADO;Motor 1.0 8v;Ano 2005 - 57.973 km;Rio de Janeiro - RJ;[' Ar condicionado'];
R$ 357.000;CLASSIC MERCEDES;USADO;Motor 1.0 8v;Ano 2014 - 86.577 km;Belo Horizonte - MG;[' Freios ABS'];
R$ 333.000;MERCEDES;USADO;Motor V6;Ano 2002 - 25.150 km;Rio de Janeiro - RJ;[' Painel digital'];
R$ 153.000;SPEEDO;USADO;Motor 1.0 8v;Ano 2010 - 44.165 km;Belo Horizonte - MG;[' Ar condicionado'];
R$ 318.000;PORSCHE TARGA;USADO;Motor 1.8 16v;Ano 2005 - 102.500 km;Belo Horizonte - MG;[' Controle de estabilidade'];
R$ 125.000;FERRARI 308 GT4;USADO;Motor 4.0 Turbo;Ano 1999 - 90.403 km;Belo Horizonte - MG;[' Controle de tração'];
R$ 373.000;MERCEDES BENZ 600;USADO;Motor Diesel;Ano 2015 - 69.171 km;Rio de Janeiro - RJ;[' Rodas de liga'];
R$ 81.000;PACKARD SUPER 8;USADO;Motor Diesel V6;Ano 2004 - 4.476 km;Belo Horizonte - MG;[' Bancos de couro'];
R$ 464.000;BENTLEY MULSANNE;USADO;Motor Diesel V6;Ano 2004 - 61.712 km;Belo Horizonte - MG;[' Painel digital'];OPORTUNIDADE
R$ 201.000;JAGUAR XK;NOVO;Motor 5.0 V8 Bi-Turbo;Ano 2019 - 0 km;Belo Horizonte - MG;[' Controle de tração'];
R$ 222.000;PLYMOUTH;USADO;Motor V6;Ano 1999 - 2.388 km;São Paulo - SP;[' Sensor de estacionamento'];OPORTUNIDADE
R$ 376.000;PORSCHE 911 GT3;USADO;Motor Diesel V6;Ano 2009 - 86.538 km;Rio de Janeiro - RJ;[' Central multimídia'];
R$ 112.000;MERCES;USADO;Motor V8;Ano 2014 - 11.328 km;São Paulo - SP;[' Controle de estabilidade'];
R$ 338.000;THIRTIES;USADO;Motor Diesel;Ano 2006 - 93.564 km;Rio de Janeiro - RJ;[' Ar condicionado'];
R$ 338.000;PORSCHE 911 TURBO;USADO;Motor 1.8 16v;Ano 1996 - 106.598 km;São Paulo - SP;[' Painel digital'];
R$ 198.000;SKODA;USADO;Motor V8;Ano 1994 - 77.208 km;Belo Horizonte - MG;[' Câmbio automático'];
R$ 155.000;VOLKSWAGEN;USADO;Motor Diesel V8;Ano 2017 - 64.852 km;Belo Horizonte - MG;[' Câmbio automático'];OPORTUNIDADE
R$ 273.000;GMC YUKON TRUCK WHEEL;USADO;Motor 1.0 8v;Ano 2001 - 70.878 km;Rio de Janeiro - RJ;[' Câmbio automático'];
R$ 63.000;PANTERA;NOVO;Motor Diesel;Ano 2019 - 0 km;São Paulo - SP;[' Câmera de estacionamento'];
R$ 448.000;HONDA;USADO;Motor Diesel V8;Ano 2009 - 64.735 km;São Paulo - SP;[' 4 X 4'];
R$ 376.000;MERCEDES AMG GTS;USADO;Motor Diesel V6;Ano 2009 - 59.305 km;Belo Horizonte - MG;[' Câmera de estacionamento'];
R$ 353.000;LIMO;USADO;Motor V6;Ano 1990 - 92.448 km;Belo Horizonte - MG;[' Central multimídia'];
R$ 90.000;BMW;USADO;Motor Diesel V6;Ano 2015 - 21.275 km;Belo Horizonte - MG;[' Central multimídia'];
R$ 468.000;FERRARI 288 GTO;USADO;Motor V6;Ano 1994 - 86.170 km;Rio de Janeiro - RJ;[' Rodas de liga'];
R$ 415.000;AUDI RS7;USADO;Motor 3.0 32v;Ano 2014 - 117.197 km;São Paulo - SP;[' Sensor de chuva'];
R$ 331.000;SEAT LEON;USADO;Motor 2.0 16v;Ano 1995 - 30.961 km;Belo Horizonte - MG;[' 4 X 4'];OPORTUNIDADE
R$ 237.000;MERCEDES BENZ SLS;USADO;Motor Diesel V8;Ano 1991 - 97.949 km;Rio de Janeiro - RJ;[' Painel digital'];OPORTUNIDADE
R$ 88.000;LAGONDA;USADO;Motor 2.0 16v;Ano 2016 - 18.870 km;Rio de Janeiro - RJ;[' Sensor de estacionamento'];
R$ 312.000;ANTIQUE CAR;USADO;Motor Diesel;Ano 2014 - 114.136 km;Belo Horizonte - MG;[' Câmbio automático'];
R$ 240.000;AUDI A5;NOVO;Motor V6;Ano 2019 - 0 km;Rio de Janeiro - RJ;[' Sensor de estacionamento'];
R$ 215.000;COUGAR XR;NOVO;Motor 1.8 16v;Ano 2019 - 0 km;São Paulo - SP;[' Teto panorâmico'];OPORTUNIDADE
R$ 492.000;JAGUAR;USADO;Motor V6;Ano 1991 - 117.377 km;Belo Horizonte - MG;[' Bancos de couro'];
R$ 172.000;WHITE LAMBORGHINI;NOVO;Motor Diesel;Ano 2019 - 0 km;São Paulo - SP;[' Sensor de estacionamento'];OPORTUNIDADE
R$ 496.000;CORVETTE YELLOW;NOVO;Motor 5.0 V8 Bi-Turbo;Ano 2019 - 0 km;São Paulo - SP;[' Central multimídia'];
R$ 334.000;HOUSTON FIRE DEPARTMENT;USADO;Motor 5.0 V8 Bi-Turbo;Ano 2010 - 112.389 km;Rio de Janeiro - RJ;[' 4 X 4'];
R$ 331.000;ASTON MARTIN DBS;USADO;Motor V8;Ano 2010 - 15.193 km;Belo Horizonte - MG;[' Sensor de estacionamento'];
R$ 381.000;AMG;NOVO;Motor 4.0 Turbo;Ano 2019 - 0 km;São Paulo - SP;[' Vidros elétricos'];
R$ 362.000;LAMBORGHINI DIABLO;NOVO;Motor 2.4 Turbo;Ano 2019 - 0 km;São Paulo - SP;[' Painel digital'];
R$ 281.000;TRIPPELWAGEN;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Rio de Janeiro - RJ;[' Sensor de estacionamento'];
R$ 308.000;BENTZ;NOVO;Motor 2.4 Turbo;Ano 2019 - 0 km;São Paulo - SP;[' Câmbio automático'];
R$ 268.000;LUXURY SPORTS CAR;NOVO;Motor 3.0 32v;Ano 2019 - 0 km;Rio de Janeiro - RJ;[' 4 X 4'];
R$ 192.000;CONVERTIBLE;USADO;Motor V8;Ano 2008 - 42.427 km;Rio de Janeiro - RJ;[' Travas elétricas'];OPORTUNIDADE
R$ 432.000;ROLLAND PILAIN;USADO;Motor 1.8 16v;Ano 2006 - 15.128 km;São Paulo - SP;[' Rodas de liga'];
R$ 489.000;SUV REAR TIRE;USADO;Motor 3.0 32v;Ano 1998 - 74.292 km;São Paulo - SP;[' Vidros elétricos'];
R$ 427.000;ANTIQUE;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Belo Horizonte - MG;[' Teto panorâmico'];
R$ 203.000;SPORT;USADO;Motor 2.0 16v;Ano 2001 - 102.776 km;Belo Horizonte - MG;[' Travas elétricas'];
R$ 474.000;IMPERIAL;USADO;Motor 1.8 16v;Ano 2011 - 101.787 km;Belo Horizonte - MG;[' Ar condicionado'];OPORTUNIDADE
R$ 366.000;KIA SPORTS CAR;USADO;Motor 3.0 32v;Ano 2001 - 88.564 km;Belo Horizonte - MG;[' Travas elétricas'];
